,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Added Fields that are greyed out and ,,,,,,,,,,,,,,,,,,,
CAN/US DESCRIPTION,CAN Supplier,CAD Manu/User CODES,,Notes,,Fields ,calculated for PFC viewing,,Netley Retail,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
HARDWARE,,,,,,,,,,,,,,,,,,,,,,,,,,
HARDWARE - SCREWS/CONNECTORS,,,,,,,,,,,,,,,,,,,,,,,,,,
Round Rod Black 8ft ,Hafele,H.801.43.340,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
"Round Rod Black 92"" (NEW)",Hafele,H.801.43.341,,,,,,,,,,,,,,,,,,,,,,,,
Round Rod Matt Gold 8ft,Hafele,H.801.42.040,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
"Round Rod Matt Gold 92"" (NEW)",Hafele,H.801.42.041,,,,,,,,,,,,,,,,,,,,,,,,
Round Rod Slate 8ft,Hafele,H.801.42.340,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
"Round Rod Slate 92"" (NEW)",Hafele,H.801.42.341,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
LIGHTED CLOSET RODS,,,,,,,,,,,,,,,,,,,,,,,,,,
Lighted Oval Closet Rod Matt-Aluminum (Custom Lengths),Hafele,H.833.72.790.CTS,,Add $3.00 Cut Charge for every Quantity,,Quantity x Length,Total costs per cut x Cost per piece/inch x Total Cost,"129, 136",,,,,,all others,,,,,,,,,,,,
Lighted Closet Round Rod Chrome (Custom Lengths),Hafele,H.830.28.720.CTS,,Add $3.00 Cut Charge for every Quantity,,Quantity x Length,Total costs per cut x Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Lighted Closet Round Rod Matt-Aluminum (Custom Lengths),Hafele,H.830.28.700.CTS,,Add $3.00 Cut Charge for every Quantity,,Quantity x Length,Total costs per cut x Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Lighted Closet Round Rod Matt Nickle (Custom Lengths),Hafele,H.830.28.710.CTS,,Add $3.00 Cut Charge for every Quantity,,Quantity x Length,Total costs per cut x Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Lighted Closet Round Rod Black (Custom Lengths),Hafele,H.830.28.820.CTS,,Add $3.00 Cut Charge for every Quantity,,Quantity x Length,Total costs per cut x Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Lighted Closet Round Rod Matt Gold (Custom Lengths) ,Hafele,H.830.28.790.CTS,,Add $3.00 Cut Charge for every Quantity,,Quantity x Length,Total costs per cut x Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Lighted Closet Round Rod Slate (Custom Lengths),Hafele,H.830.28.800.CTS,,Add $3.00 Cut Charge for every Quantity,,Quantity x Length,Total costs per cut x Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Lighted Oval Rod Matt-Aluminum 8ft,Hafele,H.833.72.790,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Lighted Round Rod Chrome 8ft ,Hafele,H.830.28.720,,,,Quantity,Cost per piece/inch x Total Cost,Translucent Cover picture,,,,,,,,,,,,,,,,,,
Lighted Round Rod Matt-Aluminum 8ft ,Hafele,H.830.28.700,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Lighted Round Rod Black 8ft,Hafele,H.830.28.820,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Lighted Round Rod Matt Gold 8ft,Hafele,H.830.28.790,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
